V1,gene,logfoldchanges,pvals,pvals_adj,neg_log_pvals,point_color,regulation,label
205,MIR155HG,0.7884507,6.55620123770173e-55,7.58039634222751e-53,52.1203080866183,black,NS,
206,KCNN1,1.3488307,7.90148782608508e-55,9.109738193091e-53,52.0404941041389,red,Up,
207,RNF2,1.0758269,4.1624322883512e-54,4.7716610141917e-52,51.3213304168238,red,Up,
208,PPP1R14A,4.422,4.23633597264489e-54,4.84262405575542e-52,51.3149192449424,red,Up,
209,DBNL,0.59222,7.4670730757243e-54,8.48764317610217e-52,51.0712128866359,black,NS,
210,CD274,0.61811286,1.33945015084955e-53,1.51824417098542e-51,50.8186583775947,black,NS,
211,ARRB1,0.9869121,1.68219140293375e-53,1.90139460759616e-51,50.7209277420946,black,NS,
212,SUCO,0.7071799,2.93375803629514e-53,3.29757672090756e-51,50.4818050914361,black,NS,
213,TBC1D13,1.0423893,4.75082353715245e-53,5.32514531586599e-51,50.2736685364305,red,Up,
214,WIPF1,0.39307043,1.09184688893143e-52,1.21372467388874e-50,49.9158798191685,black,NS,
215,GCNT2,1.0633358,1.32370858860662e-52,1.46742552108391e-50,49.8334439320586,red,Up,
216,NDRG1,1.0114683,2.12373606372569e-52,2.34786294913586e-50,49.6293272575825,red,Up,
217,STIMATE,0.8734387,5.00775739293965e-52,5.50607701144144e-50,49.2591577185856,black,NS,
218,LINC00310,1.6637007,9.50884670217803e-52,1.0426657122997e-49,48.9818549078477,red,Up,
219,PRDM8,1.860164,3.44244050514226e-51,3.75430700712163e-49,48.4254702159856,red,Up,
220,RAP2A,0.7383349,6.69831823230668e-51,7.26587465887202e-49,48.1387120982748,black,NS,
221,NFKB2,0.62471944,1.03581273104323e-50,1.12056609445192e-48,47.9505625223425,black,NS,
222,UBQLN4,1.7106221,1.90554385527775e-50,2.04501344808956e-48,47.6893038317095,red,Up,
223,TAP1,0.6276826,1.92933264022883e-50,2.06505121216217e-48,47.6850691736039,black,NS,
224,MTMR4,0.81440663,2.0474319617173e-50,2.18566070156658e-48,47.660417256327,black,NS,
225,HNRNPA1,0.59279865,2.82869262697488e-50,3.01169933730053e-48,47.5211883866111,black,NS,
226,NFE2L1,0.65518385,2.97816016357764e-50,3.16249260317592e-48,47.4999704815959,black,NS,
227,DCTN1,0.8718411,4.2115492153164e-50,4.46048383035295e-48,47.3506180306475,black,NS,
228,YBX1,0.6348401,4.47970844899848e-50,4.73207317628238e-48,47.324948548108,black,NS,
229,NFAT5,0.48278528,4.60603014196127e-50,4.85280752711283e-48,47.3140069334056,black,NS,
230,TLN1,0.5097249,5.36080048146073e-50,5.61867587085463e-48,47.2503660206831,black,NS,
231,NONO,0.77314806,7.07448571253971e-50,7.37647667887345e-48,47.1321510262935,black,NS,
232,JUN,1.1833491,7.24235161601455e-50,7.53204568065514e-48,47.1230870547207,red,Up,
233,ITPR1,0.7177551,1.36853345283115e-49,1.41961598685456e-47,46.8478291185358,black,NS,
234,COPG1,0.8782295,1.42042388686661e-49,1.46966524827799e-47,46.8327815750351,black,NS,
235,KDM6B,1.1469334,1.43799719950837e-49,1.48404253183023e-47,46.8285536522413,red,Up,
236,PPARG,4.271633,1.45920583452337e-49,1.50208861823181e-47,46.8233044446463,red,Up,
237,NEU3,0.85640186,1.52176175801988e-49,1.56249695826001e-47,46.8061808194317,black,NS,
238,MAPK13,1.7531828,1.98467265556e-49,2.03262718266896e-47,46.6919422708246,red,Up,
239,TSC22D4,1.0138816,2.28388264470357e-49,2.32725334543127e-47,46.6331563367245,red,Up,
240,KSR1,0.76423407,2.93286132610587e-49,2.9735381967594e-47,46.5267264783736,black,NS,
241,COLEC12,1.8542147,3.04932560317487e-49,3.0838693418374e-47,46.5109040305307,red,Up,
242,VDAC1,0.71713823,3.57340764846797e-49,3.60485363577449e-47,46.4431123638061,black,NS,
